Flux Density B (T),Frequency (Hz),Temperature (C),Power Loss PV (W/m³)
0.072990326,1500000,100,685841.0992
0.075077569,1500000,100,762897.6574
0.077224499,1500000,100,833684.8833
0.079806969,1500000,100,879272.1429
0.081704297,1500000,100,960857.445
0.083646732,1500000,100,1107429.255
0.086038707,1500000,100,1231852.663
0.088084189,1500000,100,1370255.461
0.089755532,1500000,100,1579277.959
0.091889377,1500000,100,1725814.922
0.093193958,1500000,100,1954088.025
0.095858947,1500000,100,2097841.342
0.097677811,1500000,100,2375322.285
0.1,1500000,100,2737660.413
0.010047102,2000000,100,8561.751537
0.010334411,2000000,100,9191.60043
0.010680004,2000000,100,9867.784425
0.011089142,2000000,100,10783.38966
0.011513954,2000000,100,11783.95144
0.011898993,2000000,100,12877.35266
0.012354829,2000000,100,14072.20765
0.012767988,2000000,100,14841.6991
0.013071533,2000000,100,16509.21399
0.013572288,2000000,100,17411.96495
0.01402616,2000000,100,18692.88355
0.014359617,2000000,100,21165.38654
0.014839818,2000000,100,22722.4272
0.015336077,2000000,100,23964.92686
0.015700677,2000000,100,26657.46714
0.016225724,2000000,100,28115.14125
0.016768329,2000000,100,29652.52338
0.017247839,2000000,100,32984.08429
0.017824625,2000000,100,35410.57248
0.0184207,2000000,100,37346.88078
0.018947461,2000000,100,40812.1976
0.019673315,2000000,100,45397.58551
0.020426976,2000000,100,48737.27819
0.021110076,2000000,100,53259.47942
0.021918777,2000000,100,58201.28356
0.022758459,2000000,100,62482.88574
0.023409264,2000000,100,67079.4658
0.024306044,2000000,100,73303.58939
0.025001104,2000000,100,78696.19912
0.025837167,2000000,100,85998.2082
0.026826958,2000000,100,92324.70296
0.027854666,2000000,100,97373.16946
0.028786156,2000000,100,110252.694
0.029748796,2000000,100,118363.4803
0.030599497,2000000,100,127070.9401
0.031771727,2000000,100,136418.9678
0.032988863,2000000,100,149076.9177
0.034092046,2000000,100,160043.8245
0.03523212,2000000,100,178025.2874
0.03658182,2000000,100,194543.776
0.037805155,2000000,100,208855.4716
0.039438316,2000000,100,228234.6102
0.040949151,2000000,100,236480.732
0.042120139,2000000,100,263050.139
0.043528681,2000000,100,287457.8554
0.045196212,2000000,100,308604.8147
0.04648865,2000000,100,331307.4592
0.047818047,2000000,100,362048.5891
0.04988376,2000000,100,395642.1059
0.010334411,3000000,100,40812.1976
0.010580101,3000000,100,45397.58551
0.010985411,3000000,100,47037.80133
0.011459975,3000000,100,50498.15719
0.011843209,3000000,100,54213.0756
0.012239258,3000000,100,58201.28356
0.012648552,3000000,100,63601.62445
0.013133103,3000000,100,67079.4658
0.013572288,3000000,100,73303.58939
0.01402616,3000000,100,78696.19912
0.014495209,3000000,100,84485.51847
0.015050503,3000000,100,89105.32547
0.01562707,3000000,100,95660.39664
0.016149656,3000000,100,102697.6944
0.016689717,3000000,100,108313.3731
0.017247839,3000000,100,118363.4803
0.017824625,3000000,100,127070.9401
0.018507465,3000000,100,134019.3879
0.019036707,3000000,100,146454.6872
0.019859083,3000000,100,154463.0702
0.020426976,3000000,100,168795.2839
0.021110076,3000000,100,181212.7807
0.021918777,3000000,100,191121.7934
0.022651765,3000000,100,205181.7494
0.023190287,3000000,100,224220.0132
0.02385344,3000000,100,245024.7864
0.024767236,3000000,100,258423.1444
0.025716039,3000000,100,282401.5344
0.026576011,3000000,100,303176.5233
0.027594106,3000000,100,325479.8332
0.028516882,3000000,100,349423.8956
0.029609329,3000000,100,375129.413
0.030743627,3000000,100,388682.8475
0.031622777,3000000,100,424747.6857
0.032374575,3000000,100,464158.8834
0.033457216,3000000,100,489539.854
0.034576061,3000000,100,534962.943
0.035732321,3000000,100,574317.7195
0.036927248,3000000,100,616567.6467
0.038341886,3000000,100,673777.3038
0.039624079,3000000,100,736295.2913
0.04114203,3000000,100,762897.6574
0.042120139,3000000,100,833684.8833
0.043528681,3000000,100,927352.1888
0.045409096,3000000,100,960857.445
0.04648865,3000000,100,1068813.016
0.04804328,3000000,100,1147440.7
0.050118723,3000000,100,1210184.644
0.01,5000000,100,194543.776
0.010383088,5000000,100,205181.7494
0.010780851,5000000,100,228234.6102
0.011193853,5000000,100,240714.8538
0.011568187,5000000,100,258423.1444
0.01201135,5000000,100,277434.1529
0.012354829,5000000,100,303176.5233
0.012767988,5000000,100,319754.7139
0.013133103,5000000,100,349423.8956
0.013764978,5000000,100,368530.9685
0.014225293,5000000,100,395642.1059
0.014770247,5000000,100,424747.6857
0.01526418,5000000,100,455994.4298
0.01577463,5000000,100,498304.929
0.016378937,5000000,100,525553.0615
0.016926666,5000000,100,574317.7195
